"filename", "language", "HTML", "JavaScript", "XML", "Markdown", "CSS", "comment", "blank", "total"
"e:\Otaku Squad\Frontend\assets\css\style-dark\card-style-dark.css", "CSS", 0, 0, 0, 0, 1112, 114, 213, 1439
"e:\Otaku Squad\Frontend\assets\css\style-dark\footer-style-dark.css", "CSS", 0, 0, 0, 0, 106, 12, 25, 143
"e:\Otaku Squad\Frontend\assets\css\style-dark\header-and-side-menu-style-dark.css", "CSS", 0, 0, 0, 0, 398, 19, 73, 490
"e:\Otaku Squad\Frontend\assets\css\style-dark\login-page-dark.css", "CSS", 0, 0, 0, 0, 366, 4, 61, 431
"e:\Otaku Squad\Frontend\assets\css\style-dark\overlay-and-modal-style-dark.css", "CSS", 0, 0, 0, 0, 202, 13, 41, 256
"e:\Otaku Squad\Frontend\assets\css\style-dark\slideshow-style-dark.css", "CSS", 0, 0, 0, 0, 1662, 19, 351, 2032
"e:\Otaku Squad\Frontend\assets\css\style-dark\style-main-dark.css", "CSS", 0, 0, 0, 0, 169, 24, 42, 235
"e:\Otaku Squad\Frontend\assets\css\style-dark\var-dark.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 7
"e:\Otaku Squad\Frontend\assets\css\style\card-style.css", "CSS", 0, 0, 0, 0, 1112, 114, 203, 1429
"e:\Otaku Squad\Frontend\assets\css\style\footer-style.css", "CSS", 0, 0, 0, 0, 105, 12, 25, 142
"e:\Otaku Squad\Frontend\assets\css\style\header-and-side-menu-style.css", "CSS", 0, 0, 0, 0, 381, 14, 71, 466
"e:\Otaku Squad\Frontend\assets\css\style\login-page.css", "CSS", 0, 0, 0, 0, 403, 16, 69, 488
"e:\Otaku Squad\Frontend\assets\css\style\overlay-and-modal-style.css", "CSS", 0, 0, 0, 0, 188, 13, 38, 239
"e:\Otaku Squad\Frontend\assets\css\style\slideshow-style.css", "CSS", 0, 0, 0, 0, 1662, 19, 351, 2032
"e:\Otaku Squad\Frontend\assets\css\style\style-main.css", "CSS", 0, 0, 0, 0, 200, 33, 56, 289
"e:\Otaku Squad\Frontend\assets\css\style\var.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 7
"e:\Otaku Squad\Frontend\assets\images\logo\logo.svg", "XML", 0, 0, 72, 0, 0, 0, 1, 73
"e:\Otaku Squad\Frontend\assets\images\main-content\search.svg", "XML", 0, 0, 9, 0, 0, 0, 1, 10
"e:\Otaku Squad\Frontend\assets\js\script.js", "JavaScript", 0, 338, 0, 0, 0, 53, 111, 502
"e:\Otaku Squad\Frontend\website\bg\index-bg.html", "HTML", 815, 0, 0, 0, 0, 4, 120, 939
"e:\Otaku Squad\Frontend\website\bg\login-index-bg.html", "HTML", 382, 0, 0, 0, 0, 21, 85, 488
"e:\Otaku Squad\Frontend\website\en\index-en.html", "HTML", 815, 0, 0, 0, 0, 23, 121, 959
"e:\Otaku Squad\Frontend\website\en\login-index-en.html", "HTML", 380, 0, 0, 0, 0, 21, 85, 486
"e:\Otaku Squad\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 4, 23
"e:\Otaku Squad\index.html", "HTML", 27, 0, 0, 0, 0, 1, 5, 33
"Total", "-", 2419, 338, 81, 19, 8080, 549, 2152, 13638
